fetchTimestamp,ticker,longName,industry,sector,fullExchangeName,website,city,marketCap,regularMarketTime,currentPrice,open,dayHigh,dayLow,volume,previousClose,regularMarketChange,regularMarketChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,averageVolume,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,totalCash,totalDebt,totalRevenue,returnOnEquity,profitMargins,bookValue,priceToBook,trailingPE,forwardPE,trailingEps,dividendYield,payoutRatio,lastSplitFactor,lastSplitDate,beta
2026-05-08T10:56:47.010886,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Marine Shipping,Industrials,NSE,https://www.adaniports.com,Ahmedabad,4090448838656,1778218013,1774.6,1740.4,1792.0,1727.7,3231053,1732.8,42.599976,2.4595828,1290.5,1792.0,1481.978,1451.104,3043154,2303959098,0.68052,0.20834999,97381597184,633989890048,387357704192,0.15592,0.33060002,417.251,4.254993,30.494675,22.936764,58.22,0.43,0.12020001,5:1,1285200000.0,0.504
2026-05-08T10:56:47.010886,LT.NS,Larsen & Toubro Limited,Engineering & Construction,Industrials,NSE,https://www.larsentoubro.com,Mumbai,5471032311808,1778218012,3977.0,4010.0,4014.0,3972.6,586485,4023.0,-46.0,-1.1434253,3288.1,4440.0,3843.666,3876.1465,3730946,1375668171,0.17186001,0.48775002,803725312000,1254965903360,2916350427136,0.1554,0.05515,736.989,5.3962812,33.97113,21.75826,117.07,0.94,0.2909,3:2,1499904000.0,0.493
2026-05-08T10:56:47.010886,M&M.NS,Mahindra & Mahindra Limited,Auto Manufacturers,Consumer Cyclical,NSE,https://www.mahindra.com,Mumbai,4027596668928,1778218011,3354.2,3357.8,3363.0,3320.5,782538,3370.7,-16.5,-0.48952708,2896.0,3839.9,3147.564,3446.718,3287135,1200762264,0.2524,0.49216,527834513408,1369359122432,2020843454464,0.18754,0.08461001,741.994,4.5205216,22.064201,20.815836,152.02,0.98,0.1663,2:1,1513814400.0,0.383
2026-05-08T10:56:47.010886,HINDUNILVR.NS,Hindustan Unilever Limited,Household & Personal Products,Consumer Defensive,NSE,https://www.hul.co.in,Mumbai,5357772996608,1778218010,2280.3,2272.2,2280.9,2256.0,277963,2272.2,8.100098,0.35645565,2022.5,2750.0,2193.332,2390.6665,2087810,2349591262,0.62264997,0.19614,74950000640,14780000256,644679991296,0.21603,0.23329,207.383,10.995598,50.426804,42.55896,45.22,1.94,0.9503,10:1,963187200.0,0.402
2026-05-08T10:56:47.010886,TCS.NS,Tata Consultancy Services Limited,Information Technology Services,Technology,NSE,https://www.tcs.com,Mumbai,8613942788096,1778218010,2380.8,2398.0,2407.0,2378.2,1644679,2401.4,-20.599854,-0.8578269,2346.2,3630.5,2477.84,2925.427,4240113,3618087518,0.71789,0.1703,466779996160,112829997056,2670210056192,0.48395002,0.18429,313.727,7.5887637,17.516186,14.371944,135.92,5.16,0.4632,2:1,1527724800.0,0.289
2026-05-08T10:56:47.010886,KOTAKBANK.NS,Kotak Mahindra Bank Limited,Banks - Regional,Financial Services,NSE,https://www.kotak.bank.in,Mumbai,3741860233216,1778218011,376.2,379.0,379.0,374.0,4307928,379.4,-3.1999817,-0.8433211,345.5,453.2,376.824,407.5536,19934533,9946464950,0.28763,0.46530998,1020911091712,953935331328,740433330176,0.11389,0.26049,182.123,2.065637,19.401754,11.793104,19.39,0.13,0.025799999,5:1,1768348800.0,0.308
2026-05-08T10:56:47.010886,INDIGO.NS,InterGlobe Aviation Limited,Airlines,Industrials,NSE,https://www.goindigo.in,Gurugram,1750544285696,1778218012,4527.5,4488.0,4534.0,4465.7,323669,4506.9,20.600098,0.45713997,3895.2,6232.5,4382.114,5174.0366,1618437,386646998,0.41576,0.44324002,496290988032,748138004480,846754021376,,0.03793,242.434,18.675186,54.4367,24.455917,83.17,0.24,0.1205,,,0.606
2026-05-08T10:56:47.010886,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Drug Manufacturers - Specialty & Generic,Healthcare,NSE,https://sunpharma.com,Mumbai,4438769532928,1778218011,1850.0,1822.0,1854.0,1819.2,848620,1834.4,15.599976,0.8503666,1548.0,1857.8,1748.618,1702.2975,3766765,2399334970,0.55615,0.2864,278804299776,52151001088,568090886144,,0.19214001,324.462,5.701746,40.668278,32.69565,45.49,0.9,0.3516,2:1,1375056000.0,0.097
2026-05-08T10:56:47.010886,ADANIENT.NS,Adani Enterprises Limited,Thermal Coal,Energy,NSE,https://www.adanienterprises.com,Ahmedabad,3461496963072,1778218016,2524.9,2519.0,2546.1,2501.1,754567,2513.7,11.199951,0.44541463,1753.0,2695.0,2094.252,2259.025,2173583,1301693464,0.77321,0.14413999,143160705024,1066217897984,1004686082048,0.13664,0.09295999,626.992,4.0270047,34.282413,44.542645,73.65,0.05,0.0171,2:1,1260403200.0,0.765
2026-05-08T10:56:47.010886,ULTRACEMCO.NS,UltraTech Cement Limited,Building Materials,Basic Materials,NSE,https://www.ultratechcement.com,Mumbai,3512385404928,1778218017,11940.0,12090.0,12110.0,11926.0,74150,12146.0,-206.0,-1.6960316,10325.0,13110.0,11513.5,12045.16,340203,294169635,0.60593,0.21675,51199700992,237550895104,885115322368,0.10593,0.092259996,2448.889,4.8756804,43.11559,27.274538,276.93,0.64,0.2793,,,0.489
2026-05-08T10:56:47.010886,COALINDIA.NS,Coal India Limited,Thermal Coal,Energy,NSE,https://www.coalindia.in,Kolkata,2836087701504,1778218016,460.2,461.2,463.35,456.3,6328984,466.65,-6.4499817,-1.3820403,368.65,491.25,451.54,410.54675,12291196,6162728327,0.63137,0.25228,567618371584,140721799168,1684002963456,0.28124002,0.18465,193.28,2.3810017,9.123712,8.012497,50.44,4.71,0.5232,,,0.003
